c MST generated by Kruskal's Algorithm using Quick Sort
e 46221 70375 25
e 59648 97735 25
e 18824 94141 25
e 81521 97040 25
e 28998 33089 25
e 13438 26128 25
e 2308 91929 25
e 23168 51242 25
e 36545 61100 25
e 60342 99035 25
e 13557 44700 25
e 45146 85428 25
e 30094 73423 25
e 45098 88782 25
e 24365 87988 25
e 73601 86335 25
e 24392 93356 25
e 44221 55192 25
e 14080 30713 25
e 71596 74159 25
e 24620 32456 25
e 18029 41658 25
e 71926 88262 25
e 42958 86044 25
e 42679 60495 25
e 42262 51420 25
e 2820 58934 25
e 41990 62967 25
e 62684 95154 25
e 23863 45028 25
e 62910 64895 25
e 40962 92837 25
e 64175 77996 25
e 215 30846 25
e 32402 46982 25
e 21530 61903 25
e 54662 80955 25
e 40714 55637 26
e 39096 61669 26
e 56458 89653 26
e 57210 84364 26
e 24088 80409 26
e 6066 7669 26
e 29831 57205 26
e 6867 89335 26
e 28104 71357 26
e 69377 98137 26
e 33756 61493 26
e 54894 59717 26
e 8991 83870 26
e 31603 67356 26
e 44907 86741 26
e 63543 73019 26
e 51204 68642 26
e 62747 77057 26
e 69362 85923 26
e 16844 89900 26
e 63494 92656 26
e 10287 82188 26
e 13759 57895 26
e 39304 98447 26
e 9551 79683 26
e 65128 90030 26
e 15793 37272 26
e 23584 82736 26
e 28941 70942 26
e 33348 35119 26
e 5509 37954 26
e 1484 97243 26
e 16119 56497 26
e 8046 87711 26
e 6756 86637 26
e 68295 75382 26
e 27872 97552 26
e 76462 77247 26
e 39049 57738 26
e 33272 88164 26
e 29630 90143 26
e 31345 65286 26
e 48768 79402 26
e 3339 54893 26
e 66336 68680 26
e 12840 39170 26
e 46369 54494 26
e 2273 80921 26
e 19657 65468 26
e 5773 13618 26
e 7350 32219 26
e 3330 37060 26
e 43059 47763 26
e 52344 55744 26
e 90673 91227 26
e 4931 87938 26
e 14039 16057 26
e 4511 76310 26
e 14934 21672 26
e 45258 49100 26
e 62126 62835 26
e 24140 42047 26
e 25022 31344 26
e 13174 13442 26
e 36301 79156 26
e 14071 65211 26
e 11810 76217 26
e 45712 53916 26
e 87020 99690 26
e 2636 68213 26
e 6146 7929 26
e 36461 82082 26
e 30177 33942 26
e 28553 83398 26
e 62312 75349 26
e 50236 89437 26
e 43956 69229 26
e 48235 57976 26
e 69831 79839 26
e 31199 48432 26
e 35553 59087 27
e 36289 50668 27
e 45880 77697 27
e 23075 98611 27
e 33122 36334 27
e 59811 60369 27
e 52707 84236 27
e 35250 38565 27
e 7500 81485 27
e 16539 24827 27
e 28058 29098 27
e 53855 79099 27
e 64922 94409 27
e 78599 84550 27
e 39388 97285 27
e 80368 91838 27
e 58259 72310 27
e 96008 98853 27
